episode_id,title,source_file,turns,chunks,has_pii,notes
ada-chen-rekhi,Ada Chen Rekhi,Ada Chen Rekhi.txt,202,61,False,
adam-fishman,Adam Fishman,Adam Fishman.txt,173,42,False,
adam-grenier,Adam Grenier,Adam Grenier.txt,182,51,False,
adriel-frederick,Adriel Frederick,Adriel Frederick.txt,1,0,False,
aishwarya-naresh-reganti-kiriti-badam,Aishwarya Naresh Reganti + Kiriti Badam,Aishwarya Naresh Reganti + Kiriti Badam.txt,185,75,False,
albert-cheng,Albert Cheng,Albert Cheng.txt,340,61,False,
alex-hardimen,Alex Hardimen,Alex Hardimen.txt,216,44,False,
alex-komoroske,Alex Komoroske,Alex Komoroske.txt,199,74,False,
alexander-embiricos,Alexander Embiricos,Alexander Embiricos.txt,227,71,False,
alisa-cohn,Alisa Cohn,Alisa Cohn.txt,249,75,False,
ami-vora,Ami Vora,Ami Vora.txt,242,58,False,
amjad-masad,Amjad Masad,Amjad Masad.txt,151,42,False,
andrew-wilkinson,Andrew Wilkinson,Andrew Wilkinson.txt,190,69,False,
andy-johns,Andy Johns,Andy Johns.txt,144,54,False,
andy-raskin,Andy Raskin,Andy Raskin_.txt,156,37,False,
anneka-gupta,Anneka Gupta,Anneka Gupta.txt,149,51,False,
annie-duke,Annie Duke,Annie Duke.txt,151,71,False,
annie-pearl,Annie Pearl,Annie Pearl.txt,244,40,False,
anton-osika,Anton Osika,Anton Osika.txt,194,40,False,
anuj-rathi,Anuj Rathi,Anuj Rathi.txt,140,52,False,
aparna-chennapragada,Aparna Chennapragada,Aparna Chennapragada.txt,150,42,False,
april-dunford-2-0,April Dunford 2.0,April Dunford 2.0.txt,244,83,False,
april-dunford,April Dunford,April Dunford.txt,248,45,False,
archie-abrams,Archie Abrams,Archie Abrams.txt,265,47,False,
arielle-jackson,Arielle Jackson,Arielle Jackson.txt,231,65,False,
asha-sharma,Asha Sharma,Asha Sharma.txt,1,0,False,
austin-hay,Austin Hay,Austin Hay.txt,180,86,False,
ayo-omojola,Ayo Omojola,Ayo Omojola.txt,1,0,False,
bangaly-kaba,Bangaly Kaba,Bangaly Kaba.txt,270,73,False,
barbra-gago,Barbra Gago,Barbra Gago.txt,1,0,False,
ben-horowitz,Ben Horowitz,Ben Horowitz.txt,226,62,False,
ben-williams,Ben Williams,Ben Williams.txt,237,60,False,
benjamin-lauzier,Benjamin Lauzier,Benjamin Lauzier.txt,201,62,False,
benjamin-mann,Benjamin Mann,Benjamin Mann.txt,177,45,False,
bill-carr,Bill Carr,Bill Carr.txt,185,69,False,
bob-baxley,Bob Baxley,Bob Baxley.txt,270,0,False,
bob-moesta-2-0,Bob Moesta 2.0,Bob Moesta 2.0.txt,217,84,False,
bob-moesta,Bob Moesta,Bob Moesta.txt,191,52,False,
boz,Boz,Boz.txt,303,87,False,
brandon-chu,Brandon Chu,Brandon Chu.txt,1,0,False,
brendan-foody,Brendan Foody,Brendan Foody.txt,202,39,False,
bret-taylor,Bret Taylor,Bret Taylor.txt,175,69,False,
brian-balfour,Brian Balfour,Brian Balfour.txt,259,53,False,
brian-chesky,Brian Chesky,Brian Chesky.txt,103,56,False,
brian-tolkin,Brian Tolkin,Brian Tolkin.txt,197,45,False,
cam-adams,Cam Adams,Cam Adams.txt,124,36,False,
camille-fournier,Camille Fournier,Camille Fournier.txt,209,34,False,
camille-hearst,Camille Hearst,Camille Hearst.txt,316,40,False,
camille-ricketts,Camille Ricketts,Camille Ricketts.txt,204,46,False,
carilu-dietrich,Carilu Dietrich,Carilu Dietrich.txt,204,40,False,
carole-robin,Carole Robin,Carole Robin.txt,186,59,False,
casey-winters,Casey Winters,Casey Winters.txt,1,0,False,
casey-winters,Casey Winters,Casey Winters_.txt,243,49,False,
chandra-janakiraman,Chandra Janakiraman,Chandra Janakiraman.txt,328,76,False,
chip-conley,Chip Conley,Chip Conley.txt,230,56,False,
chip-huyen,Chip Huyen,Chip Huyen.txt,185,72,False,
chris-hutchins,Chris Hutchins,Chris Hutchins.txt,178,79,False,
christian-idiodi,Christian Idiodi,Christian Idiodi.txt,186,81,False,
christina-wodtke,Christina Wodtke,Christina Wodtke.txt,212,54,False,
christine-itwaru,Christine Itwaru,Christine Itwaru.txt,158,45,False,
christopher-lochhead,Christopher Lochhead,Christopher Lochhead.txt,249,64,False,
christopher-miller,Christopher Miller,Christopher Miller.txt,215,69,False,
claire-butler,Claire Butler,Claire Butler.txt,290,90,False,
claire-hughes-johnson,Claire Hughes Johnson,Claire Hughes Johnson.txt,181,62,False,
claire-vo,Claire Vo,Claire Vo.txt,247,54,False,
crystal-w,Crystal W,Crystal W.txt,151,24,False,
dalton-caldwell,Dalton Caldwell,Dalton Caldwell.txt,210,64,False,
dan-hockenmaier,Dan Hockenmaier,Dan Hockenmaier.txt,174,28,False,
dan-shipper,Dan Shipper,Dan Shipper.txt,344,73,False,
daniel-lereya,Daniel Lereya,Daniel Lereya.txt,216,58,False,
david-placek,David Placek,David Placek.txt,199,57,False,
david-singleton,David Singleton,David Singleton.txt,212,71,False,
deb-liu,Deb Liu,Deb Liu.txt,217,55,False,
dhanji-r-prasanna,Dhanji R. Prasanna,Dhanji R. Prasanna.txt,237,50,False,
dharmesh-shah,Dharmesh Shah,Dharmesh Shah.txt,264,95,False,
dmitry-zlokazov,Dmitry Zlokazov,Dmitry Zlokazov.txt,140,0,False,
donna-lichaw,Donna Lichaw,Donna Lichaw.txt,195,60,False,
dr-fei-fei-li,Dr. Fei Fei Li,Dr. Fei Fei Li.txt,154,46,False,
drew-houston,Drew Houston,Drew Houston.txt,198,82,False,
dylan-field-2-0,Dylan Field 2.0,Dylan Field 2.0.txt,241,0,False,
dylan-field,Dylan Field,Dylan Field.txt,1,0,False,
eoy-review,EOY Review,EOY Review.txt,95,43,False,
ebi-atawodi,Ebi Atawodi,Ebi Atawodi.txt,225,81,False,
edwin-chen,Edwin Chen,Edwin Chen.txt,247,54,False,
eeke-de-milliano,Eeke de Milliano,Eeke de Milliano.txt,348,36,False,
elena-verna-2-0,Elena Verna 2.0,Elena Verna 2.0.txt,216,53,False,
elena-verna-3-0,Elena Verna 3.0,Elena Verna 3.0.txt,240,69,False,
elena-verna-4-0,Elena Verna 4.0,Elena Verna 4.0.txt,259,63,False,
eli-schwartz,Eli Schwartz,Eli Schwartz.txt,326,93,False,
elizabeth-stone,Elizabeth Stone,Elizabeth Stone.txt,144,45,False,
emilie-gerber,Emilie Gerber,Emilie Gerber.txt,248,74,False,
emily-kramer,Emily Kramer,Emily Kramer.txt,195,33,False,
eoghan-mccabe,Eoghan McCabe,Eoghan McCabe.txt,167,61,False,
eric-ries,Eric Ries,Eric Ries.txt,264,135,False,
eric-simons,Eric Simons,Eric Simons.txt,254,71,False,
ethan-evans-2-0,Ethan Evans 2.0,Ethan Evans 2.0.txt,236,57,False,
ethan-smith,Ethan Smith,Ethan Smith.txt,314,43,False,
evan-lapointe,Evan LaPointe,Evan LaPointe.txt,243,105,False,
failure,Failure,Failure.txt,124,48,False,
fareed-mosavat,Fareed Mosavat,Fareed Mosavat.txt,177,45,False,
farhan-thawar,Farhan Thawar,Farhan Thawar.txt,255,97,False,
garrett-lord,Garrett Lord,Garrett Lord.txt,178,52,False,
gaurav-misra,Gaurav Misra,Gaurav Misra.txt,290,64,False,
geoff-charles,Geoff Charles,Geoff Charles.txt,160,53,False,
geoffrey-moore,Geoffrey Moore,Geoffrey Moore.txt,163,71,False,
gergely,Gergely,Gergely.txt,134,62,False,
gia-laudi,Gia Laudi,Gia Laudi.txt,184,46,False,
gibson-biddle,Gibson Biddle,Gibson Biddle.txt,1,0,False,
gina-gotthilf,Gina Gotthilf,Gina Gotthilf.txt,276,78,False,
gokul-rajaram,Gokul Rajaram,Gokul Rajaram.txt,170,43,False,
graham-weaver,Graham Weaver,Graham Weaver.txt,163,53,False,
grant-lee,Grant Lee,Grant Lee.txt,312,95,False,
guillermo-rauch,Guillermo Rauch,Guillermo Rauch.txt,225,62,False,
gustaf-alstromer,Gustaf Alstromer,Gustaf Alstromer.txt,187,72,False,
gustav-s-derstr-m,Gustav Söderström,Gustav Söderström.txt,198,62,False,
hamel-husain-shreya-shankar,Hamel Husain & Shreya Shankar,Hamel Husain & Shreya Shankar.txt,380,72,False,
hamilton-helmer,Hamilton Helmer,Hamilton Helmer.txt,132,35,False,
hari-srinivasan,Hari Srinivasan,Hari Srinivasan.txt,229,54,False,
heidi-helfand,Heidi Helfand,Heidi Helfand.txt,131,44,False,
hila-qu,Hila Qu,Hila Qu.txt,231,68,False,
hilary-gridley,Hilary Gridley,Hilary Gridley.txt,381,87,False,
howie-liu,Howie Liu,Howie Liu.txt,267,75,False,
ian-mcallister,Ian McAllister,Ian McAllister.txt,138,51,False,
inbal-s,Inbal S,Inbal S.txt,1,0,False,
interview-q-compilation,Interview Q Compilation,Interview Q Compilation.txt,1,0,False,
itamar-gilad,Itamar Gilad,Itamar Gilad.txt,182,54,False,
ivan-zhao,Ivan Zhao,Ivan Zhao.txt,191,43,False,
jackie-bavaro,Jackie Bavaro,Jackie Bavaro.txt,1,0,False,
jackson-shuttleworth,Jackson Shuttleworth,Jackson Shuttleworth.txt,231,67,False,
jag-duggal,Jag Duggal,Jag Duggal.txt,184,68,False,
jake-knapp-john-zeratsky-2-0,Jake Knapp + John Zeratsky 2.0,Jake Knapp + John Zeratsky 2.0.txt,311,82,False,
jake-knapp-john-zeratsky,Jake Knapp + John Zeratsky,Jake Knapp + John Zeratsky.txt,263,72,False,
janna-bastow,Janna Bastow,Janna Bastow.txt,1,0,False,
jason-droege,Jason Droege,Jason Droege.txt,193,62,False,
jason-feifer,Jason Feifer,Jason Feifer.txt,308,77,False,
jason-fried,Jason Fried,Jason Fried.txt,271,98,False,
jason-m-lemkin,Jason M Lemkin,Jason M Lemkin.txt,309,116,False,
jason-shah,Jason Shah,Jason Shah.txt,156,62,False,
jeanne-grosser,Jeanne Grosser,Jeanne Grosser.txt,156,68,False,
jeff-weinstein,Jeff Weinstein,Jeff Weinstein.txt,268,118,False,
jeffrey-pfeffer,Jeffrey Pfeffer,Jeffrey Pfeffer.txt,172,49,False,
jen-abel-2-0,Jen Abel 2.0,Jen Abel 2.0.txt,338,56,False,
jen-abel,Jen Abel,Jen Abel.txt,235,52,False,
jeremy-henrickson,Jeremy Henrickson,Jeremy Henrickson.txt,205,57,False,
jerry-colonna,Jerry Colonna,Jerry Colonna.txt,166,46,False,
jess-lachs,Jess Lachs,Jess Lachs.txt,166,57,False,
jessica-hische,Jessica Hische,Jessica Hische.txt,150,56,False,
jessica-livingston,Jessica Livingston,Jessica Livingston.txt,212,38,False,
jiaona-zhang,Jiaona Zhang,Jiaona Zhang.txt,168,53,False,
joe-hudson,Joe Hudson,Joe Hudson.txt,158,53,False,
john-cutler,John Cutler,John Cutler.txt,283,84,False,
john-mark-nickels,John Mark Nickels,John Mark Nickels.txt,169,58,False,
jonathan-becker,Jonathan Becker,Jonathan Becker.txt,189,73,False,
jonathan-lowenhar,Jonathan Lowenhar,Jonathan Lowenhar.txt,210,61,False,
jonny-miller,Jonny Miller,Jonny Miller.txt,187,48,False,
josh-miller,Josh Miller,Josh Miller.txt,170,76,False,
judd-antin,Judd Antin,Judd Antin.txt,192,51,False,
jules-walter,Jules Walter,Jules Walter.txt,173,52,False,
julia-schottenstein,Julia Schottenstein,Julia Schottenstein.txt,135,42,False,
julian-shapiro,Julian Shapiro,Julian Shapiro.txt,1,0,False,
julie-zhuo-2-0,Julie Zhuo 2.0,Julie Zhuo 2.0.txt,250,80,False,
julie-zhuo,Julie Zhuo,Julie Zhuo.txt,132,57,False,
karina-nguyen,Karina Nguyen,Karina Nguyen.txt,208,38,False,
karri-saarinen,Karri Saarinen,Karri Saarinen.txt,224,66,False,
katie-dill,Katie Dill,Katie Dill.txt,219,76,False,
kayvon-beykpour,Kayvon Beykpour,Kayvon Beykpour.txt,198,67,False,
keith-coleman-jay-baxter,Keith Coleman & Jay Baxter,Keith Coleman & Jay Baxter.txt,288,83,False,
keith-yandell,Keith Yandell,Keith Yandell.txt,1,0,False,
ken-norton,Ken Norton,Ken Norton.txt,231,25,False,
kenneth-berger,Kenneth Berger,Kenneth Berger.txt,204,50,False,
kevin-aluwi,Kevin Aluwi,Kevin Aluwi.txt,117,41,False,
kevin-weil,Kevin Weil,Kevin Weil.txt,240,72,False,
kevin-yien,Kevin Yien,Kevin Yien.txt,254,65,False,
kim-scott,Kim Scott,Kim Scott.txt,213,0,False,
kristen-berman,Kristen Berman,Kristen Berman.txt,1,0,False,
krithika-shankarraman,Krithika Shankarraman,Krithika Shankarraman.txt,202,55,False,
kunal-shah,Kunal Shah,Kunal Shah.txt,793,45,False,
lane-shackleton,Lane Shackleton,Lane Shackleton.txt,205,56,False,
laura-modi,Laura Modi,Laura Modi.txt,218,41,False,
laura-schaffer,Laura Schaffer,Laura Schaffer.txt,185,64,False,
lauren-ipsen,Lauren Ipsen,Lauren Ipsen.txt,219,23,False,
lauryn-isford,Lauryn Isford,Lauryn Isford.txt,148,44,False,
logan-kilpatrick,Logan Kilpatrick,Logan Kilpatrick.txt,169,57,False,
luc-levesque,Luc Levesque,Luc Levesque.txt,203,63,False,
lulu-cheng-meservey,Lulu Cheng Meservey,Lulu Cheng Meservey.txt,147,41,False,
madhavan-ramanujam-2-0,Madhavan Ramanujam 2.0,Madhavan Ramanujam 2.0.txt,229,43,False,
madhavan-ramanujam,Madhavan Ramanujam,Madhavan Ramanujam.txt,222,88,False,
maggie-crowley,Maggie Crowley,Maggie Crowley.txt,219,71,False,
manik-gupta,Manik Gupta,Manik Gupta.txt,132,46,False,
marc-benioff,Marc Benioff,Marc Benioff.txt,1,0,False,
marily-nika,Marily Nika,Marily Nika.txt,1,0,False,
marty-cagan-2-0,Marty Cagan 2.0,Marty Cagan 2.0.txt,174,58,False,
marty-cagan,Marty Cagan,Marty Cagan.txt,1,0,False,
matt-abrahams,Matt Abrahams,Matt Abrahams.txt,234,55,False,
matt-dixon,Matt Dixon,Matt Dixon.txt,1,0,False,
matt-lemay,Matt LeMay,Matt LeMay.txt,331,68,False,
matt-macinnis,Matt MacInnis,Matt MacInnis.txt,261,70,False,
matt-mochary,Matt Mochary,Matt Mochary.txt,162,48,False,
matt-mullenweg,Matt Mullenweg,Matt Mullenweg.txt,212,75,False,
matthew-dicks,Matthew Dicks,Matthew Dicks.txt,225,91,False,
maya-prohovnik,Maya Prohovnik,Maya Prohovnik.txt,209,70,False,
mayur-kamat,Mayur Kamat,Mayur Kamat.txt,193,72,False,
megan-cook,Megan Cook,Megan Cook.txt,207,63,False,
melanie-perkins,Melanie Perkins,Melanie Perkins.txt,172,54,False,
melissa-perri-denise-tilles,Melissa Perri + Denise Tilles,Melissa Perri + Denise Tilles.txt,195,67,False,
melissa-perri,Melissa Perri,Melissa Perri.txt,156,68,False,
melissa-tan,Melissa Tan,Melissa Tan.txt,177,53,False,
melissa,Melissa,Melissa.txt,1,0,False,
meltem-kuran,Meltem Kuran,Meltem Kuran.txt,214,59,False,
merci-grace,Merci Grace,Merci Grace.txt,1,0,False,
michael-truell,Michael Truell,Michael Truell.txt,155,52,False,
mihika-kapoor,Mihika Kapoor,Mihika Kapoor.txt,200,79,False,
mike-krieger,Mike Krieger,Mike Krieger.txt,146,60,False,
mike-maples-jr,Mike Maples Jr,Mike Maples Jr.txt,222,81,False,
molly-graham,Molly Graham,Molly Graham.txt,237,69,False,
nabeel-s-qureshi,Nabeel S. Qureshi,Nabeel S. Qureshi.txt,233,84,False,
nan-yu,Nan Yu,Nan Yu.txt,210,73,False,
nancy-duarte,Nancy Duarte,Nancy Duarte.txt,189,61,False,
naomi-gleit,Naomi Gleit,Naomi Gleit.txt,285,66,False,
naomi-ionita,Naomi Ionita,Naomi Ionita.txt,1,0,False,
nick-turley,Nick Turley,Nick Turley.txt,289,73,False,
nickey-skarstad,Nickey Skarstad,Nickey Skarstad.txt,167,50,False,
nicole-forsgren-2-0,Nicole Forsgren 2.0,Nicole Forsgren 2.0.txt,186,50,False,
nicole-forsgren,Nicole Forsgren,Nicole Forsgren.txt,269,53,False,
nikhyl-singhal,Nikhyl Singhal,Nikhyl Singhal.txt,169,60,False,
nikita-bier,Nikita Bier,Nikita Bier.txt,191,58,False,
nikita-miller,Nikita Miller,Nikita Miller.txt,1,0,False,
nilan-peiris,Nilan Peiris,Nilan Peiris.txt,209,54,False,
nir-eyal,Nir Eyal,Nir Eyal.txt,184,88,False,
noah-weiss,Noah Weiss,Noah Weiss.txt,283,60,False,
noam-lovinsky,Noam Lovinsky,Noam Lovinsky.txt,162,54,False,
oji-udezue,Oji Udezue,Oji Udezue.txt,172,53,False,
paige-costello,Paige Costello,Paige Costello.txt,172,37,False,
patrick-campbell,Patrick Campbell,Patrick Campbell.txt,194,56,False,
paul-adams,Paul Adams,Paul Adams.txt,213,60,False,
paul-millerd,Paul Millerd,Paul Millerd.txt,187,36,False,
pete-kazanjy,Pete Kazanjy,Pete Kazanjy.txt,136,44,False,
peter-deng,Peter Deng,Peter Deng.txt,360,85,False,
petra-wille,Petra Wille,Petra Wille.txt,244,47,False,
phyl-terry,Phyl Terry,Phyl Terry.txt,318,78,False,
raaz-herzberg,Raaz Herzberg,Raaz Herzberg.txt,288,33,False,
rachel-lockett,Rachel Lockett,Rachel Lockett.txt,372,72,False,
rahul-vohra,Rahul Vohra,Rahul Vohra.txt,174,62,False,
ramesh-johari,Ramesh Johari,Ramesh Johari.txt,230,50,False,
ravi-mehta,Ravi Mehta,Ravi Mehta.txt,197,71,False,
ray-cao,Ray Cao,Ray Cao.txt,140,57,False,
richard-rumelt,Richard Rumelt,Richard Rumelt.txt,169,58,False,
robby-stein,Robby Stein,Robby Stein.txt,292,59,False,
roger-martin,Roger Martin,Roger Martin.txt,190,53,False,
ronny-kohavi,Ronny Kohavi,Ronny Kohavi.txt,235,48,False,
ryan-hoover,Ryan Hoover,Ryan Hoover.txt,1,0,False,
ryan-j-salva,Ryan J. Salva,Ryan J. Salva.txt,143,35,False,
ryan-singer,Ryan Singer,Ryan Singer.txt,300,76,False,
sachin-monga,Sachin Monga,Sachin Monga.txt,169,23,False,
sahil-mansuri,Sahil Mansuri,Sahil Mansuri.txt,182,66,False,
sam-lessin,Sam Lessin,Sam Lessin.txt,380,72,False,
sam-schillace,Sam Schillace,Sam Schillace.txt,207,72,False,
sanchan-saxena,Sanchan Saxena,Sanchan Saxena.txt,217,41,False,
sander-schulhoff-2-0,Sander Schulhoff 2.0,Sander Schulhoff 2.0.txt,174,57,False,
sander-schulhoff,Sander Schulhoff,Sander Schulhoff.txt,341,66,False,
sarah-tavel,Sarah Tavel,Sarah Tavel.txt,304,78,False,
scott-belsky,Scott Belsky,Scott Belsky.txt,183,38,False,
scott-wu,Scott Wu,Scott Wu.txt,275,80,False,
sean-ellis,Sean Ellis,Sean Ellis.txt,262,69,False,
seth-godin,Seth Godin,Seth Godin.txt,1,0,False,
shaun-clowes,Shaun Clowes,Shaun Clowes.txt,161,78,False,
shishir-mehrotra,Shishir Mehrotra,Shishir Mehrotra.txt,197,49,False,
shreyas-doshi-live,Shreyas Doshi Live,Shreyas Doshi Live.txt,1,0,False,
shreyas-doshi,Shreyas Doshi,Shreyas Doshi.txt,129,59,False,
shweta-shriva,Shweta Shriva,Shweta Shriva.txt,1,0,False,
sri-batchu,Sri Batchu,Sri Batchu.txt,194,49,False,
sriram-and-aarthi,Sriram and Aarthi,Sriram and Aarthi.txt,230,80,False,
stewart-butterfield,Stewart Butterfield,Stewart Butterfield.txt,193,64,False,
tamar-yehoshua,Tamar Yehoshua,Tamar Yehoshua.txt,169,61,False,
tanguy-crusson,Tanguy Crusson,Tanguy Crusson.txt,301,88,False,
teaser-2021,Teaser 2021,Teaser_2021.txt,1,0,False,
teresa-torres,Teresa Torres,Teresa Torres.txt,1,0,False,
tim-holley,Tim Holley,Tim Holley.txt,211,52,False,
timothy-davis,Timothy Davis,Timothy Davis.txt,262,64,False,
tobi-lutke,Tobi Lutke,Tobi Lutke.txt,166,68,False,
todd-jackson,Todd Jackson,Todd Jackson.txt,236,70,False,
tom-conrad,Tom Conrad,Tom Conrad.txt,222,66,False,
tomer-cohen-2-0,Tomer Cohen 2.0,Tomer Cohen 2.0.txt,173,48,False,
tomer-cohen,Tomer Cohen,Tomer Cohen.txt,179,47,False,
tristan-de-montebello,Tristan de Montebello,Tristan de Montebello.txt,295,85,False,
upasna-gautam,Upasna Gautam,Upasna Gautam.txt,1,0,False,
uri-levine-2-0,Uri Levine 2.0,Uri Levine 2.0.txt,196,53,False,
uri-levine,Uri Levine,Uri Levine.txt,179,61,False,
varun-mohan,Varun Mohan,Varun Mohan.txt,230,63,False,
varun-parmar,Varun Parmar,Varun Parmar.txt,186,70,False,
vijay,Vijay,Vijay.txt,1,0,False,
vikrama-dhiman,Vikrama Dhiman,Vikrama Dhiman.txt,128,48,False,
wes-kao-2-0,Wes Kao 2.0,Wes Kao 2.0.txt,239,75,False,
wes-kao,Wes Kao,Wes Kao.txt,1,0,False,
will-larson,Will Larson,Will Larson.txt,199,63,False,
yuhki-yamashata,Yuhki Yamashata,Yuhki Yamashata.txt,182,51,False,
yuriy-timen,Yuriy Timen,Yuriy Timen.txt,189,40,False,
zevi-arnovitz,Zevi Arnovitz,Zevi Arnovitz.txt,250,58,False,
zoelle-egner,Zoelle Egner,Zoelle Egner.txt,288,59,False,
